id,destination_ids
sd.analytic_distribution_analytic_account_destination_expatriates,"60000,60010,60120,60210,61000,61020,61040,61100,61110,61120,61130,61140,61170,61200,61210,61220,63100,63110,63120,64000,64010,64020,64030,64040,64100,64110,65000,65010,65020,65021,65100,65110,65120,65200,65300,65310,65400,65410,65520,65540,66010,66020,66030,66140,66200,66220,66230,66240,66250,66260,66300,66310,68000,68020,70000,70010,70020,71000,71200,71210"
sd.analytic_distribution_analytic_account_destination_national_staff,"60000,60010,60120,60210,61000,61020,61040,61100,61110,61120,61130,61140,61170,61200,61210,61220,63100,63110,63120,64000,64010,64020,64030,64040,64100,64110,65000,65010,65020,65021,65100,65110,65120,65200,65300,65310,65400,65410,65520,65540,66000,66001,66002,66003,66004,66005,66006,66020,66030,66100,66110,66120,66130,66140,66210,66230,66240,66250,66300,66310,68000,68020,70000,70010,70020,71000,71200,71210"
sd.analytic_distribution_analytic_account_destination_operation,"60000,60010,60020,60030,60100,60110,60120,60200,60210,60900,61000,61010,61020,61030,61040,61050,61090,61100,61110,61120,61130,61140,61150,61160,61170,61200,61210,61220,62000,63000,63010,63020,63030,63100,63110,63120,63200,64000,64010,64020,64030,64040,64100,64110,65000,65010,65020,65021,65100,65110,65120,65200,65300,65310,65400,65410,65610,65520,65530,65540,65600,65620,66300,66310,68000,68010,68020,68030,70000,70010,70020,71000,71200,71210,91000,91100,91200"
sd.analytic_distribution_analytic_account_destination_support,"60120,61000,61090,61100,61110,61120,61130,61140,61150,61160,61170,61200,61210,61220,62000,63100,63110,63120,64000,64010,64020,64030,64040,64100,64110,65000,65010,65020,65021,65100,65110,65120,65200,65300,65310,65400,65410,65500,65510,65520,65540,65610,65710,65720,66300,66310,67000,67010,67020,67030,67040,67050,67100,67110,67120,67130,67140,68000,68010,68020,68030,68100,69001,69002,70000,70010,70020,71000,71100,71110,71120,71200,71210,71300,79001,79002,79003,91000,91100,91200"
